text,sentiment,text_clean
sangat memuaskan...👍👍👍,positif,muas
beli barang buat kebutuhan kendaran bermotor,positif,beli barang butuh kendaran motor
shope memberikan yg terbaik mudah dalam berbelanja,positif,shope baik mudah belanja
mksh sudah banyak bantu,positif,terima kasih bantu
"setiap buka shopee lama sekali padahal internet lancar..lemot..dikit2 harus update, setelah update lama kalau buka",netral,buka shopee internet lancarlemotdikit update update buka
aplikasi yang sangat bagus,positif,aplikasi bagus
samsung j200g ngga bisa masuk,negatif,samsung masuk
sangat bagus pengiriman cepat kurirnya ramah,positif,bagus kirim cepat kurir ramah
biar bintang yg menilai,positif,biar bintang nilai
aplikasi nya jelek banget,positif,aplikasi nya jelek
"Jasa kirimnya jelek sering lambat gak tepat waktu khusus luar Jawa, jadi males belanja,.",negatif,jasa kirim jelek lambat khusus jawa malas belanja
sangat puas belanja di sinih,positif,puas belanja sih
Top lah,positif,top
Kren,positif,kren
banyak mau🤮,negatif,mau
"gimana ini pengiriman nya, dari Minggu kemarin ngestuck di Jawa ayo dong shopee tingkat kan kurir mu jangan gunakan spx Yang ada orang pindah aplikasi sebelah, saran aja pakai jnt kembali",negatif,gimana kirim nya minggu kemarin ngestuck jawa ayo tolong shopee tingkat kurir mu spx orang pindah aplikasi belah saran pakai jnt
"shopee tempat belanja yg memuaskan, barang yg di kirim sesuai pesanan, tepat waktu, produk produk nya sangat banyak dan berkualitas, sukses selalu buat shopee.",positif,shopee belanja muas barang kirim sesuai pesan produk produk nya kualitas sukses shopee
pesanan suka tiba2 terbatalkan otomatis oleh Shopee padahal gk dibatalin,netral,pesan suka batal otomatis shopee gk dibatalin
kurang menangkap jaringan jadi agak lelet liat life,positif,tangkap jaring lelet liat life
sangat membantu bagi saya untuk mencari kebutuhan,positif,bantu cari butuh
belanja aman dan mudah ga pake ribet.,positif,belanja aman mudah pake ribet
Belanja mudah gk usah kemana mana,positif,belanja mudah gk mana
proses cepat,positif,proses cepat
"kwalitas bagus,baru dan murah sesuai pesanan dan pengiriman cepat bisa order terus..mudah2an berkah dan sukses untuk semuanya Amin",positif,kwalitas bagusbaru murah sesuai pesan kirim cepat order terusmudahan berkah sukses amin
"Perusahaan tidak amanah, 2 kali beli hp voucher nya ngk bisa di pakai 😄, sdh chat tlpn cs, ngk di kasih solusi dan komunikasi, bicara nya saja di bantu follow up, pdhl ngk 💩",negatif,usaha amanah kali beli hp voucher nya ngk pakai sdh chat tlpn cs ngk kasih solusi komunikasi bicara nya bantu follow up ngk
beli di shoopy sangatlah senang banyak gratis ongkir,positif,beli shoopy senang gratis ongkir
"paylater saya kenapa kok dibekukan dan sampai sekarang masih belum aktif,kan Maslah nya sdh selesai dari tahun lalu sampai sekarang belum juga aktif, solusi nya sangat buruk sekali dan gini saya gak bisa belanja lagi 🤦🤦🤦👎👎👎",negatif,paylater beku aktif mas nya sdh selesai aktif solusi nya buruk gin belanja
barang di pesan selalu bagus mantap,positif,barang pesan bagus mantap
"puas,,,dengan ongkir paling murah di on line shop",positif,puasdengan ongkir murah on line shop
polll tenan maseh,positif,polll tenan maseh
"Terakhir kali pesen via aplikasi ini sangat menjengkelkan, pesen barang dari Senin pagi sampe Rabu malam ini belum juga nyampe padahal kirim dari Jateng, dimana dihari yg sama sy pesen jaket dari toko ijo sebelah tp pesanan sudah sampe kemaren hari Selasa sore padahal kirim dari jabar, gaada gunanya sedikit lebih murah klo pengiriman sangat lama, customers tidak butuh itu. Ini akibat toko online merangkap punya jasa pengiriman sendiri, tidak seperti toko ijo yg profesional hanya fokus ditoko",negatif,kali sen via aplikasi jengkel sen barang senin pagi rabu malam nyampe kirim jateng mana hari sy sen jaket toko ijo belah tp pesan kemaren selasa sore kirim jabar gaada guna murah kirim customers butuh akibat toko online rangkap jasa kirim toko ijo profesional fokus toko
mantap jaya terus shoope,positif,mantap jaya shoope
"segalanya jadi praktis n instan, krna kehadiran shoope",positif,praktis instan hadir shoope
bagus Alhamdulillah,positif,bagus alhamdulillah
berkualitas,positif,kualitas
"semua sudah ok, sisa 1 aja, kalo spaylater saya acc baru mantap🙏",positif,tuju sisa spaylater acc mantap
Jelek banget attitudenya Ga pernah ngutang Di spam terus Heh Nagih tuh ke yang ngutang Kau pikir orang ga punya urusan,negatif,jelek attitudenya ngutang spam heh nagih tuh ngutang kau pikir orang urus
menguntungkan,positif,untung
komplit dlm memenuhi kebutuhan sy.,positif,komplit dlm penuh butuh sy
"ga pernah ada masalah dg semua pesanannya, cuma masalahnya dg kurirnya setiap ngantar ga prn ada yg namanya senyum slalu jutek",positif,pesan kurir ngantar prn nama senyum slalu jutek
sangat berguna sekali untuk berbelanja,positif,guna belanja
pesanan cepat sampai tujuan,positif,pesan cepat tuju
good jobb membantu,positif,good jobb bantu
"skrg pengiriman lama ga kya dulu, pkoknya shopee yng skrg kacauuuu",negatif,skrg kirim kya pkoknya shopee yng skrg kacauuuu
"aplikasi yang bagus digunakan ongkir pun murah tapi, ada tapinya nih, tapi kadang pesan barang itu GK sesuai sama difoto ntahh itu barang apa atau apapun gitu, mohon shopee hrus ditinjak lnjuti untuk toko SPT itu hrus sat set, okai see you",positif,aplikasi bagus ongkir murah tapi nih kadang pesan barang gk sesuai foto ntahh barang apa mohon shopee hrus tinjak lnjuti toko spt hrus sat set okai see you
ekspedisinya kurang terkontrol merugikan pembeli dan penjual,negatif,ekspedisi kontrol rugi beli jual
apik,positif,apik
saya sangat tertarik dengan barang barang yg murah di shopee 🥰,positif,tarik barang barang murah shopee
sanggat bgus,positif,sanggat bgus
iklan lu dmana mana ganggu banget,negatif,iklan lu dmana ganggu
Responsif dan banyak pilihan,positif,responsif pilih
shopy oke,positif,shopy tuju
shopee sll buat puas costumer masya Allah,positif,shopee sll puas costumer masya allah
sangat membantu dalam berbelanja..aplikasi yang sangat bagus,positif,bantu berbelanjaaplikasi bagus
shopee sangat bagus kita bisa membeli belanjaan tanpa harus keluar rumah,positif,shopee bagus beli belanja rumah
barang bagus sesuai pesanan,positif,barang bagus sesuai pesan
bagus membantu walaupun dipelosok negeri,positif,bagus bantu pelosok negeri
"belanja online nyaman di sini, banyak promo dan bebas ongkir, trimakasih",positif,belanja online nyaman promo bebas ongkir trimakasih
fani RamaDani,positif,fani ramadan
banyak penipu,negatif,tipu
kurir SPX Instan tolong perbaiki lagi shopee,netral,kurir spx instan tolong baik shopee
a great and perfect,positif,a great and perfect
sangat cocok untuk belanja online,positif,cocok belanja online
banyak banget pilih an mu beli di sini semuanya ada terus smpai pada tujuan tepat dan pokok nya favorit ku deh,positif,pilih an mu beli smpai tuju pokok nya favorit ku deh
"Kecewa dengan ulah kurirnya, dr SPX. Sy ga pernah menolak paket, dibilang penerima menolak paket.. akhirnya paket dikirim balik ke pembeli. alasan ga bisa dikirim ulang. biasanya bisa ada percobaan kirim ulang.",negatif,kecewa ulah kurir spx sy tolak paket bilang terima tolak paket paket kirim beli alas kirim ulang coba kirim ulang
"sangat"" buruk☺️☺️ setelah ini GK akan pakai shopee lagi ☺️",negatif,buruk gk pakai shopee
kecewa dengan Shopi,negatif,kecewa shopi
Aplikasi berbelanja santai dan bergaransi,positif,aplikasi belanja santai garansi
cepat tanggap,positif,cepat tanggap
lumayan dari pada lu manyun,positif,lumayan lu manyun
Revalina,positif,revalina
"Jam tanganya bagus,pelayanan bagus,barang yg di pesan sesuai harapan kemasan rapi dan aman.",positif,jam tanganya baguspelayanan bagusbarang pesan sesuai harap kemas rapi aman
cukup menarik,positif,tarik
puas belanja berlangganan dengan Shopee,positif,puas belanja langgan shopee
sampe saat ini belum mengecewakan dan puas dengan layanannya.,positif,kecewa puas layan
"Lebih bagus lagi di adakan pembayaran menggunakan qrist kayak apk sebelah, jdi untuk memesan makanan atau apapun jadi gampang",positif,bagus adakan bayar qrist aplikasi belah mes makan apa gampang
"aplikasi aneh, saya mau pakai shope lagi setelah beberapa bulan menghapusnya, namun saat verifikasi disuruh scan kode QR dengan akun yang ingin saya pakai, bagaimana cara untuk scan jika akunnya saja belum saya pakai?",negatif,aplikasi aneh pakai shope hapus verifikasi suruh scan kode qr akun pakai scan akun pakai
T.O.P B.G.T,positif,top banget
senang banget belanja di shoppe 😊 apalagi kalo dapat potongan harga 😊😊,positif,senang belanja shoppe potong harga
pesanan sesuai yg di pesan.tepst waktu dan kondisi pesanan baik,positif,pesan sesuai pesantepst kondisi pesan
"Pelayanan sudah, tapi ongkirnya masih kemahalan dan spaylater saya sampai sekarang belum bisa",negatif,layan ongkirnya mahal spaylater
semenjak beralih ke shopee express pengeriman lama sekali,negatif,semenjak alih shopee express rim
Harga barang murah juga pengiriman juga gak lama banget dan datangnya juga termasuk cepat,positif,harga barang murah kirim datang cepat
bagus untuk belanja online,positif,bagus belanja online
ongkir shoope skarang murah dan sangat terbaik 👍👍👍👍,positif,ongkir shoope skarang murah baik
dengan Shopi mudah belanja,positif,shopi mudah belanja
"paket selalu nyangkut di jakarta timur Cakung 2 dan banyak kasus yang hilang isi paketnya, saran jangan lagi pakai aplikasi shope kalau nominal nya di atas 500",negatif,paket nyangkut jakarta timur cakung hilang isi paket saran pakai aplikasi shope nominal nya
shoppe memudahkan kita blnja online,positif,shoppe mudah blnja online
oke moga berkah shopey makin sukses selalu,positif,tuju moga berkah shopey sukses
"saran saya, kembalikan lagi kurir dari jnt karena saya merasa muak dengan adanya spx sekarang. kerja nya lambat ngantar nya lama, nelpon customer ga mau, sebaiknya berhentikan saja spx dalam Shopee",negatif,saran kembali kurir jnt muak spx kerja nya lambat ngantar nya nelpon customer henti spx shopee
MURAH-MURAH,positif,murahmurah
Cinta mati sama si shopee nee,positif,cinta mati si shopee nee
pokoknya bagus,positif,pokok bagus
sangatt mempermudah pembelian,positif,sangatt mudah beli
mantap apk ini,positif,mantap aplikasi
dishoppe semua ada . mudah dlm pengembalian barang atau pun dana. cuman sayang masih blm maksimal dlm memfilter toko abal2,positif,dishoppe mudah dlm kembali barang dana cuman sayang maksimal dlm filter toko abal
"apklikasi tolol, jasa kirim sampah dapet pesanan shiping proses melulu sampah sampah spx najis",negatif,apklikasi tolol jasa kirim sampah dapet pesan shiping proses melulu sampah sampah spx najis
makin sini pengiriman makin buruk pelayanan nyaa.,negatif,kirim buruk layan nyaa
Iklan mengganggu handphone saya,positif,iklan ganggu handphone
tiba-tiba akun saya di batasi dan tidak bisa di pulihkan dengan alasan yg sebenernya tidak saya lakukan,negatif,tibatiba akun batas pulih alas sebenernya laku
Bunganya kecilin dikit la pee shopee wkwk,positif,bunga kecilin dikit pee shopee wkwk
"sekarang sudah lebih baik, mungkin lebih bagus lagi, kalo bisa bayar pakai qris/barcode",positif,bagus bayar pakai qrisbarcode
pembelian yang sangat mudah..,positif,beli mudah
alhamdulillah sesuai pesanan,positif,alhamdulillah sesuai pesan
barangnya sesuai pesanan dan amana dan jg bisa cod,positif,barang sesuai pesan amana cod
"klau bisa ks kemudahan dn potongan dlm belajan onlie,trus kartel2,,brg2 kw(palsu buat list y,,biar bgi yg awam tdk mudah terkecoh dlm memebeli barang2,di online shope.",positif,klau ks mudah dn potong dlm bajan onlietrus kartelbrg kwpalsu list ybiar bgi awam tdk mudah kecoh dlm beli barangdi online shope
"kenapa ya sekarang saya tidak bisa cod,padahal saya amanah kalo cod,,tolong aktifkan kembali cod agar saya bisa menikmati belanja lagi di shopee..",positif,ya codpadahal amanah codtolong aktif cod nikmat belanja shopee
di tarik jadi uwang,positif,tarik uwang
Sangat puas,positif,puas
baguss ga ada masalah di aku,positif,baguss
"Saya kasih bintang 1, kurir nya sangat lambat sekali untuk mengantar paket,tidak ramah,masi kebingungan nanyak alamat customer. sudah jelas situ udah lengkap,sudah kasih tau alamat lengkap customer,tapi Masi aja nanyak nanyak lagi,dan gak sesuai dengan jadwal pengantaran. tolong perbarui sistem kurirnya nya..supaya tidak seperti ini lagi,kalo bisa sat set,jangan lemot banget!",negatif,kasih bintang kurir nya lambat antar pakettidak ramahmasi bingung nanyak alamat customer situ udah lengkapsudah kasih tau alamat lengkap customertapi nanyak nanyak lagidan sesuai jadwal antar tolong baru sistem kurir nyasupaya lagikalo sat setjangan lambat
lebih membantu,positif,bantu
bagus kesenuanya,positif,bagus kesenuanya
bagus buat live jualan,positif,bagus live jual
suka,positif,suka
"sangat membantu dalam kebutuhan saya, pelayanan yg baik dan apl ini sangat menjadi rekomendasi yg baik dalam mengatasi kebutuhan👍👍👍",positif,bantu butuh layan apl rekomendasi atas butuh
shopee membantu bgt,netral,shopee bantu banget
"Mantab, diskon besar 😁",positif,mantab diskon
"kecewa belanja d shopee,barang rusak jual..mau d retur k tokonya malah ga bisa....sangat kecewa",negatif,kecewa belanja shopeebarang rusak jualmau retur toko bisasangat kecewa
coba shopee.. video unboxing kan wajib yah kalau mau komplen. tp pas mau upload video ny pasti memori kebesaran. ribet bgt hrs edit mandiri dulu.. gimana kek apa bisa di editin dr aplikasi shopee nya atau memori nya jangan kekecilan. mau biar cepet ngirim ke wa penjual kan ga semua penjual mau kasi.,netral,coba shopee video unboxing wajib yah komplen tp pas upload video ny memori besar ribet banget edit mandiri gimana kek editin aplikasi shopee nya memori nya kecil biar cepat ngirim wa jual jual kasi
simple dan aman,positif,simple aman
banyak discon ongkir,positif,discon ongkir
aplikasi belanja online terbaik,positif,aplikasi belanja online baik
sangat buruk,negatif,buruk
Belanja murah banyak promo hanya di sini 😘,positif,belanja murah promo
"bagus,,bisa COD",positif,bagusbisa cod
membantu banget buat kaum magerannnn keluar,positif,bantu kaum magerannnn
sebenarnya suka banget sama app ini tapi kok akhir2 ini setiap buka aplikasi terus buka saya selalu lari ke toko skintific. sangat mengganggu sekali,negatif,suka app buka aplikasi buka lari toko skintific ganggu
kereeeen👍🏻,positif,kereeeen
belanja di shopee enak,positif,belanja shopee enak
"APK NYA BERAT , MAKAN RUANG , DAN BIAYA LAYANAN SERTA ONGKIR DI SHOPE KEMAHALAN !!! ADA VOCHER BERASA GAK GUNA !!! TERUS PERIHAL RETUR SEKARANG JAM NYA GA KAYA DULU ! SEKARANG MALAH LEBIH RIBET ! DITAMBAH GA ADA NOTIF BAWAH KURIR SEDANG MENUJU LOKASI PENGAMBILAN DAN SUDAH DIAMBIL PAKET NYA UPDATE PUN LAMA ! KASUS ABANG GUA RETUR BARANG , PAKET NYA UDAH DI AMBIL TAPI STATUS TIDAK BERUBAH ALIAS DANA GA KEMBALI KARNA PENGAJUAN DITOLAK ! ANEH BIN AJAIB ! PERATURAN NYA MAKIN KESANA MAKIN NGACO !",negatif,aplikasi nya berat makan ruang biaya layan ongkir shope mahal vocher asa perihal retur jam nya kaya ribet tambah notif kurir lokasi ambil ambil paket nya update abang retur barang paket nya udah ambil status ubah alias dana aju tolak aneh bin ajaib atur nya kesana ngaco
"untuk aplikasinya suka sering lemot gatau karna apa pokonya ini aplikasi suka frezz sendiri gabisa di tekan""",netral,aplikasi suka lambat gatau poko aplikasi suka frezz gabisa tekan
paket cepat tiba,positif,paket cepat
sangat aman dan rekomen jos,positif,aman rekomen jos
👌👌mantap,positif,mantap
"tolong pengemtaran tepat waktu ya kk,,,kami paham dengan waktu yang lama seandainya tempat pemesanan jauh,,,tapi saya udah seringkali mengalami keterlambatan,,,saya berada di padang ya kk....",negatif,tolong pengemtaran ya kkkami paham anda mesan jauhtapi udah seringkali alami keterlambatansaya padang ya kk
aplikasi belanja terbaik thanks buat aplikasi Shopee,positif,aplikasi belanja baik thanks aplikasi shopee
"Cuma masukan aja yaa Tolong dong kyk pengirimannya jangan lama2 lebih gercep dikit apalagi shopee expressnya lama bgt pengirimannya, sudah bener kerja sama sama jnt malah diputus padahal jnt itu bagus pengirimannya cepet, gpp punya kurir sendiri tapi jangan lemot",negatif,masuk yaa tolong tolong kirim gercep dikit shopee expressnya banget kirim kerja jnt putus jnt bagus kirim cepat apa kurir lambat
pertama belanja di shopee langsung terjamin amanah nya saya suka..sayang ya shopee saya gak bisa pake Paylater,netral,belanja shopee langsung jamin amanah nya sukasayang ya shopee pake paylater
belanja mudah dan kualitas bagus,positif,belanja mudah kualitas bagus
blokir toko penipu Yang penting seler Amanah pasti banyak Rizki nya. Aamiin.,positif,blokir toko tipu seler amanah rizki nya aamiin
yg pasti shopee is the best.. ongkir murah meriah dan terjangkau buat kami di Indonesia timur👍👍👍,positif,shopee is the best ongkir murah riah jangkau indonesia timur
"‎‎saya disini ingin menyampaikan keluhan saya🙏🏻. sebenarnya apk ini udh bagus, tpi tolong pengiriman brg nya harus lebih hati-hati lagi. contoh nya: kemasan paket yg udh rusak, udh sobek, lalu paket org yg nyasar ke alamat yg slh. kurir nya ngaku itu paket nya memang begitu, gatau kenapa bisa sobek. jadi mau siapa yg saya salahkan😭 saya hrp masalah kyk gini jgn terjadi lagi dehh, kmi sebagai pembeli jg beli pakai uang, syg dong udh paket yg dinanti-nanti ehh mlh rusak...",netral,saya keluh saya aplikasi bagus tpi tolong kirim barang nya hatihati contoh nya kemas paket rusak sobek paket org nyasar alamat slh kurir nya ngaku paket nya gatau sobek salah hrp gin dehh kmi beli beli pakai uang syg tolong paket dinantinanti ehh rusak
pesan di shopee sangat memuaskan pokoknya sy seneng bngeett🥰🥰🥰,positif,pesan shopee muas pokok sy neng bngeett
belanja di shopee di jamin gak kecewa.,positif,belanja shopee jamin kecewa
saya sudah 10 tahun lebih di aplikasi soppe Sangat membantu dan menurut saya pribadi baguss👍👍👍,positif,aplikasi soppe bantu pribadi baguss
kalau bisa sistem penilaian dirubah. kalau sudah lebih dari 1 bulan tidak bisa update penilaian. karna kita tidak tau gimana cara customer menggunakan produknya. jadi kesalahan bisa terjadi karna kecerobohan customer,positif,sistem nilai rubah update nilai tau gimana customer produk salah ceroboh customer
"knpa bintang 4 , karena udah gak bisa pake via dana, ovo, terutama gopay😒 jadi sulit",positif,bintang udah pake via dana ovo gopay sulit
saya selalu belanja di akun shopee kadang2 dilazada mana yg lebih murah az 🤣🤣🤣,positif,belanja akun shopee kadang dilazada murah az
shopee sangat membantu semoga selalu memberi manfaat bagi penggunanya,positif,shopee bantu moga manfaat guna
olshop paling busuk nih apk,negatif,olshop busuk nih aplikasi
oke kiriman lancar dan barang nya aman,positif,tuju kirim lancar barang nya aman
mudah dipakai,positif,mudah pakai
discont ya gdein donk,positif,discont ya gdein donk
Pengirrimannya lama banget yah sekarang,positif,pengirrimannya yah
bagus untuk memesan atau pas kita lagi males,positif,bagus mes pas malas
sebenarnya bagus.. tapi sekarang kalo belanja ada yg di gagalin jadi nggk bisa cod...,positif,bagus belanja gagalin cod
kemudahan belanja.,positif,mudah belanja
Min tolong update fitur blokir seller di adakan agar pembeli tidak terkecoh dengan seller yg bermasalah,negatif,min tolong update fitur blokir seller adakan beli kecoh seller masalah
bagus sih,positif,bagus sih
aku senang sangat membantu sekali kebutuhan saya tambah percaya barang prodak Oren di jamin bagus2 saya beri nilai 💯% sen terima kasih seler yg jujur,positif,senang bantu butuh percaya barang prodak oren jamin bagus nilai sen terima kasih seler jujur
Aplikasi Shoping,positif,aplikasi shoping
okokok....,positif,okokok
"kalo emng GK bisa payment by kredivo, GK usah berbelit Belit jawabannya",negatif,gk payment by kredivo gk belit belit jawab
shoppee memang yang terbaikkk,positif,shoppee terbaikkk
aplikasi yang sangat berguna dan menguntungkan,positif,aplikasi guna untung
"tempat belanja yg bagus, super cepat",positif,belanja bagus super cepat
sangat bagus buat belanjad di shopee,positif,bagus belanjad shopee
sungguh sangat mempermudah,positif,sungguh mudah
RAWRRRRRRRRRRRRRR,positif,rawrrrrrrrrrrrrrr
bagus sihh,positif,bagus sihh
murce,positif,murce
"trmksh kak, pesanan saya sdh diterima dengan baik dan cepat",positif,trmksh kak pesan sdh terima cepat
sejauh ini bagus dan aman,positif,bagus aman
pengiriman semakin lama,negatif,kirim
rekomendasi sekali,positif,rekomendasi
"Dengan adanya shopee mempermudah untuk ibu rumah tangga sperti saya yg males pergi kluar apapun yg saya btuhkn smuanya ada d shopee dan bs tratasi dg kemudahan"" nya",positif,shopee mudah rumah tangga sperti malas pergi kluar apa btuhkn smuanya shopee tratasi mudah nya
pengiriman nya kelamaan!!! mana rencana mau dipake malah ga jadi dipake gara-gara lama dipengiriman nya padahal dulu enak enak aja pesen di shopee maksimal paling lama 3 hari lah ini lama bangetttttttt!,negatif,kirim nya rencana dipake dipake garagara kirim nya enak enak sen shopee maksimal bangetttttttt
"ini gimana saya pesan paket udah sampai,giliran pas mau ambil di bilang ga bisa di scan sama kurirnya ehh tau tau di return dengan alasan pembeli tidak ingin menerima paket rusak rusak apk ini bagus belanja di tiktok aja.",negatif,gimana pesan paket udah sampaigiliran pas ambil bilang scan kurir ehh tau tau return alas beli terima paket rusak rusak aplikasi bagus belanja tiktok
kenapa sllu di tolak mengajukan play leter pdahal gk pernah ad masalah di aplikasi mn pun,negatif,sllu tolak aju play leter pdahal gk aplikasi mn
sangat bagus mantap,positif,bagus mantap
pengiriman cepat sesuai pesanan,positif,kirim cepat sesuai pesan
suka banget belanja di shopee tp log in nya masya ALLAH...😖😖😖😭😭😭😭😭 LELET minta ampun setiap kali buka halaman pasti lama beda banget ama yg sebelah LZD bisa wus2 tanpa kendala🤯🤯🤯😤😤😤😤,negatif,suka belanja shopee tp log in nya masya allah lelet ampun kali buka halaman beda ama belah lzd wus kendala
Shopee mantap,positif,shopee mantap
sangat puas barangnya bagus dan tokonya amanah,positif,puas barang bagus toko amanah
mantap top banget,positif,mantap top
saya suka menggunakan shopee dishopee saya mendapatkan harga terjangkau dengan kualitas yang sangat baik.dan pengiriman juga cepat gak neko2,positif,suka shopee dishopee harga jangkau kualitas baikdan kirim cepat neko
sangat puas dalam pelayanannya,positif,puas layan
"pengiriman tepat waktu, terima kasih.",positif,kirim terima kasih
alhamdulillahh barang Sampai pekingese bagus🤲🙏,positif,alhamdulillahh barang pekingese bagus
Alhamdulillah dengan adanya shopee membuat kami lebih mudah belanja dan praktis 👍👍,positif,alhamdulillah shopee mudah belanja praktis
ok bagus aplikasinya,positif,tuju bagus aplikasi
"sgt kecewa dan bolak balik kecewa dg s paylater,, diawal pertama pke kecewa,eh skrg lagi2,, masa barang udh diajukan pengembalian di tagihan msih full,, pdhl aku mau lunasi,, apa aku kudu bayar yg tdk seharusnya dibayar,, jgn curang lah,,",negatif,sgt kecewa bolak kecewa s paylater awal pke kecewaeh skrg barang aju kembali tagih msih full lunas kudu bayar tdk bayar curang
shopee pengiriman lambat skrg.. kurirnya parah-parah terutama kalo cod belum ada konfirmasi paket datang atau tidak tiba2 tulisannya *pesanan ditolak pembeli* tanpa menghubungi sipembeli dulu.. padahal pembelii sudah nunggu2 dr lama mohon ditindak lanjuti kak kurir2 seperti ini,netral,shopee kirim lambat skrg kurir parahparah cod konfirmasi paket tulis pesan tolak beli hubung sipembeli beli nunggu mohon tindak lanjut kak kurir
"pengiriman shopee sangat buruk,bukan 1 atau 2 kali tapi terlalu sering, sangat merugikan barang mau di pakai tapi tak kunjung datang sampai berminggu-minggu bahkan sudah hampir mau sebulan, mana cuma dapat voucher 10k, ga masuk akal",negatif,kirim shopee burukbukan kali rugi barang pakai kunjung bermingguminggu bulan voucher masuk akal
apk belanja bagus ongkir murah pas buat pilihan yg mau ongkir terjangkau👍,positif,aplikasi belanja bagus ongkir murah pas pilih ongkir jangkau
"susah jink buat return, kurir tdk dtang sudah 2hr. yg 1 duit tdk kembali. payahhh",negatif,susah jink return kurir tdk dtang hr duit tdk payahhh
knpa mau jualan di shoppe verifikasinya gagal terus 😌,negatif,jual shoppe verifikasi gagal
aduh kamera dep...... lanjutin nanti aku ganti jadi bintang 5,negatif,aduh kamera dep lanjutin ganti bintang
"barang sesuai pesanan dan pengirimannya tepat waktu, kurirnya ramah2",positif,barang sesuai pesan kirim kurir ramah
"sementara ini bagus, tingkatkan layanan",positif,bagus tingkat layan
oke josss okeee,positif,tuju josss okeee
jos top bgt seneng sekali kerak2 di lantai langsung hilang👍,positif,jos top banget neng kerak lantai langsung hilang
penipu bonus aktifkan shopeepay plus diskon 100% sd 30rb tiba tiba hilang ketika saya aktifkan kalo gk bisa kasi diskon jangn php dong keselnih,negatif,tipu bonus aktif shopeepay plus diskon sd rb hilang aktif gk kasi diskon jangn beri harap palsu tolong keselnih
aplikasi yang bagus buat kebutuhan belanja apapun dan serba ada sangat membantu,positif,aplikasi bagus butuh belanja apa serba bantu
banyak diskon nya bagus deh pokoknya,positif,diskon nya bagus deh pokok
"banyakin diskon shopee fodd nya ,,",positif,banyakin diskon shopee fodd nya
"Belanja di shopee, Cepat, praktis, murmer, barang terjamin, kurir ok",positif,belanja shopee cepat praktis murmer barang jamin kurir tuju
shopee memang bagus apalagi pengiraman cod cek dulu makin yakin aku shpee nilai 99%,positif,shopee bagus iram cod cek shpee nilai
shopee kerennn...,positif,shopee kerennn
semua nya hanya pilihan saja... semua nya bagus terimakasih baik,positif,nya pilih nya bagus terimakasih
"apk bagus, banyak barang murah",positif,aplikasi bagus barang murah
mantap pasti,positif,mantap
TDK ad pilihan bisa bayar pakai dana',negatif,tdk pilih bayar pakai dana
"Shopee merupakan marketplace online yang mempertemukan penjual dan pembeli. Pengguna dapat membeli barang seperti pakaian, elektronik, perlengkapan rumah, makanan, hingga produk digital yang dapat kita pilih sesuai keinginan, harga murah dan irit tidak boros ngodok kantong. Saya tdk menggunakan yang lain selain shopee hanya shopee yg bisa bantu saya belanja nyaman terima kasih Shopee",positif,shopee marketplace online temu jual beli guna beli barang pakai elektronik lengkap rumah makan produk digital pilih sesuai harga murah irit boros ngodok kantong tdk shopee shopee bantu belanja nyaman terima kasih shopee
"enak, apapun yang kita cari pasti ada",positif,enak apa cari
ongkir gratis,positif,ongkir gratis
"sangat terjangkau tanpa harus keluar rumah, barang datang sesuai dengan gambar. kurirnya ramah dan bagus pokonya. semogah makin berkembang dan makin bagus lagi kedepannya.",positif,jangkau rumah barang sesuai gambar kurir ramah bagus poko semogah kembang bagus depan
kok GK bisa cek out ka kenapa yaa,negatif,gk cek out ka yaa
masuk aplikasi maksa bgt buka live video...KERE,negatif,masuk aplikasi maksa banget buka live videokere
Shopee memang mantaf,positif,shopee mantaf
lama lama biaya admin nya makin ga ngotak,netral,biaya admin nya ngotak
shopee memang bagus murah murah lagi,positif,shopee bagus murah murah
mantap dan terpercaya,positif,mantap percaya
ok saya suka,positif,tuju suka
aplikasi ini oke banget....aku suka,positif,aplikasi tuju bangetaku suka
tolong diperbaiki untuk dikasih nomor telpon kurirnya agar mudah komunikasi nya mengenai paket yang sedang diantar apalagi kalo paket tersebut cod,negatif,tolong baik kasih nomor telpon kurir mudah komunikasi nya paket antar paket cod
aku jarang kena tipu di sini,positif,jarang kena tipu
"Admin shopee responsif dan ramah, cari barang apapun lengkap. MP termurah, rekomended",positif,admin shopee responsif ramah cari barang apa lengkap mp murah rekomended
sangat membantu saya dalm pembelian apapun yg saya butuhkan,positif,bantu dalm beli apa butuh
"Gak habis pikir saya sama shopee,tiba tiba akun sya dibatasi, terindikasi ada jual produk imitasi atau tanpa izin....gak bisa jualan atau beli...suruh banding..munkin shopee sudah gak butuh duit lagi kali ya.. seller seller dibekukan...biarin aja lah ....saya gak untung shopee pun gak untung....sudah lapor cs juga gak selesai....pindah aja ke akun ijo ja.. ribett banget shopee..belain satu produk/penerbit, seller jadi gak bisa jualan...",negatif,habis pikir shopeetiba akun sya batas indikasi jual produk imitasi izingak jual belisuruh bandingmunkin shopee butuh duit kali ya seller seller dibekukanbiarin untung shopee untungsudah lapor cs selesaipindah akun ijo ribett shopeebelain produkpenerbit seller jual
memudahkan untuk berbelanja shopee the best lah,positif,mudah belanja shopee the best
sukses selalu shopee,positif,sukses shopee
